date,league,t1,t2,game,bet_type,bet_line,ROI,House,status,odds,profit
2023-10-20 09:21:32,WLDs,Gen.G,T1,1,under,total_inhibitors 1.5,46.25%,Bet365,win,2.25,1.25
2023-10-20 11:23:33,WLDs,JD Gaming,Bilibili Gaming,1,under,total_dragons 4.5,24.50%,Bet365,win,1.66,0.66
2023-10-20 11:23:33,WLDs,JD Gaming,Bilibili Gaming,1,under,total_towers 12.5,39.50%,Bet365,win,1.8,0.8
2023-10-20 11:23:33,WLDs,JD Gaming,Bilibili Gaming,1,under,game_duration 30.5,9.80%,Bet365,win,1.83,0.83
2023-10-20 11:23:33,WLDs,JD Gaming,Bilibili Gaming,1,under,total_inhibitors 1.5,41.75%,Bet365,loss,2.1,-1.0
2023-10-20 11:23:33,WLDs,JD Gaming,Bilibili Gaming,1,under,total_barons 1.5,26.00%,Bet365,win,1.8,0.8
2023-10-20 12:12:39,WLDs,Dplus KIA,KT Rolster,1,over,game_duration 31.5,5.22%,Bet365,win,1.83,0.83
2023-10-20 07:32:53,WLDs,MAD Lions,Team BDS,1,under,total_dragons 4.5,23.53%,Bet365,loss,1.83,-1.0
2023-10-20 07:32:53,WLDs,MAD Lions,Team BDS,1,under,total_towers 12.5,16.25%,Bet365,win,2.0,1.0
2023-10-20 07:32:53,WLDs,MAD Lions,Team BDS,1,under,total_kills 27.5,10.94%,Bet365,win,1.83,0.83
2023-10-20 07:32:53,WLDs,MAD Lions,Team BDS,1,under,game_duration 31.5,11.62%,Bet365,loss,1.9,-1.0
2023-10-20 07:32:53,WLDs,MAD Lions,Team BDS,1,under,total_inhibitors 1.5,27.97%,Bet365,win,2.25,1.25
2023-10-20 07:32:53,WLDs,MAD Lions,Team BDS,1,under,total_barons 1.5,22.50%,Bet365,loss,2.0,-1.0
2023-10-20 05:11:30,WLDs,NRG,Team Liquid,1,under,total_towers 12.5,10.00%,Bet365,win,2.0,1.0
2023-10-20 05:11:30,WLDs,NRG,Team Liquid,1,under,total_kills 26.5,5.22%,Bet365,win,1.83,0.83
2023-10-20 05:11:30,WLDs,NRG,Team Liquid,1,over,total_barons 1.5,5.98%,Bet365,loss,1.57,-1.0
2023-10-21 07:11:26,WLDs,JD Gaming,LNG Esports,1,under,total_kills 26.5,29.78%,Dafabet,win,1.854,0.85
2023-10-21 07:58:13,WLDs,LNG Esports,JD Gaming,2,under,total_kills 26.5,29.78%,Dafabet,win,1.854,0.85
2023-10-21 08:47:41,WLDs,JD Gaming,LNG Esports,3,under,total_kills 26.5,29.78%,Dafabet,win,1.854,0.85
2023-10-21 07:11:26,WLDs,JD Gaming,LNG Esports,1,under,game_duration 31.0,47.98%,Dafabet,win,1.973,0.97
2023-10-21 07:58:13,WLDs,LNG Esports,JD Gaming,2,under,game_duration 31.0,47.98%,Dafabet,win,1.973,0.97
2023-10-21 08:47:41,WLDs,JD Gaming,LNG Esports,3,under,game_duration 31.0,47.98%,Dafabet,win,1.973,0.97
2023-10-21 07:11:26,WLDs,JD Gaming,LNG Esports,1,under,total_barons 1.5,29.85%,Dafabet,win,1.855,0.85
2023-10-21 07:58:13,WLDs,LNG Esports,JD Gaming,2,under,total_barons 1.5,29.85%,Dafabet,win,1.855,0.85
2023-10-21 08:47:41,WLDs,JD Gaming,LNG Esports,3,under,total_barons 1.5,29.85%,Dafabet,win,1.855,0.85
2023-10-21 09:38:23,WLDs,G2 Esports,Gen.G,1,over,total_towers 12.5,5.00%,Bet365,win,2.1,1.1
